2025-07-16 11:11:06,052 INFO Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 11:11:08,488 INFO Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 11:12:02,750 INFO Phone migrated to 4
2025-07-16 11:12:02,854 INFO Reconnecting to new data center 4
2025-07-16 11:12:03,059 INFO Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 11:12:03,060 INFO Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 11:12:03,060 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:12:05,001 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:13:52,192 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:13:52,315 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:14:10,030 WARNING Telegram is having internal issues AuthRestartError: Restart the authorization process (caused by SendCodeRequest)
2025-07-16 11:15:15,346 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:15:15,465 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:15:34,922 WARNING Telegram is having internal issues AuthRestartError: Restart the authorization process (caused by SendCodeRequest)
2025-07-16 11:20:23,204 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:20:23,515 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 12:54:29,588 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 12:54:29,736 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 12:55:19,251 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,465 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,584 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,707 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,822 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,939 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,099 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,218 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,338 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,474 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,588 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,810 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,028 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,139 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,353 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,462 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,694 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,810 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,926 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,150 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,268 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,414 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,556 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,675 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,011 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,469 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,582 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,692 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,802 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,023 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,133 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,302 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,466 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,616 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,731 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,841 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:25,066 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:25,182 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:25,429 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:27,247 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:27,936 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:28,857 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:29,499 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:30,030 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:30,259 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:31,257 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:31,674 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:31,814 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:32,137 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:32,575 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:32,860 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:33,079 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:33,190 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:33,929 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:34,578 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:34,693 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:36,113 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:36,962 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:37,985 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:38,704 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:38,926 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:39,551 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:39,776 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:40,556 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:41,340 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:41,458 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:41,899 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:42,235 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:42,850 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:43,067 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:43,299 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:43,429 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:43,652 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:43,984 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:44,099 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:44,420 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:45,714 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:46,238 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:46,419 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:46,568 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:46,850 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:47,242 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:47,482 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:47,724 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:47,953 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:48,235 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:48,488 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:48,724 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:48,953 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:49,175 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:49,414 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:49,579 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:49,744 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:49,903 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:50,120 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:50,376 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:50,610 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:50,773 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:51,031 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:51,321 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:51,452 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:51,835 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:51,957 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:52,070 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:52,186 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:52,333 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:52,497 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:52,639 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:53,611 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:53,723 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:53,966 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:54,179 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:54,427 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:54,819 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:54,950 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:55,319 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:55,543 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:55,659 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:55,880 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,007 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,118 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,228 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,452 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,568 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,686 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,829 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:56,943 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:57,289 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:57,418 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:57,558 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:57,668 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:58,517 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:59,381 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:59,492 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:59,811 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:00,192 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:00,558 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:03,222 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:05,354 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:06,960 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:18,188 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:22,382 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:25,050 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:27,404 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:31,602 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:38,052 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:45,528 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:54,950 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:56:57,816 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:01,504 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:03,153 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:05,087 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:07,650 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:07,860 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:09,188 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:11,742 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:12,558 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:16,865 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:17,370 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:20,085 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:21,671 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:23,109 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:23,820 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:25,357 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:30,891 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:35,089 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:36,826 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:39,108 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:39,430 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:39,981 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:41,425 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:41,691 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:41,914 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
